Unique code,Diet,Parasites,Clone,Rep,Block,length_7,length_8,length_14,length_15,length_21,length_22,length_28,length_29,length_35,length_36,length_38
S:M Past MID 10,SM,Pasteuria,Mid37,10,2,,872.11,,1099.53,,1177.39,,NA,,NA,NA
M Past MID 1,M,Pasteuria,Mid37,1,1,931.87,,1226.08,,1292.21,,NA,,NA,,NA
M Past MID 2,M,Pasteuria,Mid37,2,1,934.01,,NA,,NA,,NA,,NA,,NA
M Past MID 3,M,Pasteuria,Mid37,3,1,935.75,,1211.02,,1331.68,,NA,,NA,,NA
M Past MID 4,M,Pasteuria,Mid37,4,1,924.95,,1153.83,,1305.29,,1339.98,,NA,,NA
M Past MID 5,M,Pasteuria,Mid37,5,1,857.14,,1055.54,,1146.69,,NA,,NA,,NA
M Past MID 6,M,Pasteuria,Mid37,6,2,,949.3,,1118.31,,NA,,NA,,NA,NA
M Past MID 7,M,Pasteuria,Mid37,7,2,,975.59,,1174.81,,1207.54,,NA,,NA,NA
M Past MID 8,M,Pasteuria,Mid37,8,2,,908.04,,1080.57,,1151.06,,1277.66,,1300.75,1316.69
M Past MID 9,M,Pasteuria,Mid37,9,2,,974.13,,1250.24,,NA,,NA,,NA,NA
M Past MID 10,M,Pasteuria,Mid37,10,2,,854.68,,1127.06,,1138.94,,NA,,NA,NA
M+ Past MID 1,M+,Pasteuria,Mid37,1,1,924.27,,1077.06,,NA,,NA,,NA,,NA
M+ Past MID 2,M+,Pasteuria,Mid37,2,1,747.93,,1018.36,,NA,,NA,,NA,,NA
M+ Past MID 3,M+,Pasteuria,Mid37,3,1,941.83,,1150,,1348.53,,1466.57,,1534.87,,1557.17
M+ Past MID 4,M+,Pasteuria,Mid37,4,1,NA,,NA,,NA,,NA,,NA,,NA
M+ Past MID 5,M+,Pasteuria,Mid37,5,1,880.89,,1076.17,,NA,,NA,,NA,,NA
M+ Past MID 6,M+,Pasteuria,Mid37,6,2,,929.02,,1166.77,,NA,,NA,,NA,NA
M+ Past MID 7,M+,Pasteuria,Mid37,7,2,,916.21,,1087.83,,NA,,NA,,NA,NA
M+ Past MID 8,M+,Pasteuria,Mid37,8,2,,927.56,,1053.75,,1148.2,,NA,,NA,NA
M+ Past MID 9,M+,Pasteuria,Mid37,9,2,,859.46,,1072.72,,1133.65,,NA,,NA,NA
M+ Past MID 10,M+,Pasteuria,Mid37,10,2,,888.6,,1068.59,,1160.04,,1293.03,,1402.62,1374.29
S Uninf STD 1,S,Uninfected,Standard,1,1,1054.84,,1407.71,,1451.22,,1515.48,,1605.72,,NA
S Uninf STD 2,S,Uninfected,Standard,2,1,1087.81,,1475.72,,1434.8,,NA,,NA,,NA
S Uninf STD 3,S,Uninfected,Standard,3,1,1048.01,,1339.85,,1368.88,,NA,,NA,,NA
S Uninf STD 4,S,Uninfected,Standard,4,1,1053.14,,1330.39,,1380.97,,NA,,NA,,NA
S Uninf STD 5,S,Uninfected,Standard,5,1,1044.04,,1398.43,,1415.68,,1426.93,,NA,,NA
S Uninf STD 6,S,Uninfected,Standard,6,2,,1242.17,,1421.06,,NA,,NA,,NA,NA
S Uninf STD 7,S,Uninfected,Standard,7,2,,1064.21,,1435.93,,NA,,NA,,NA,NA
S Uninf STD 8,S,Uninfected,Standard,8,2,,1230.89,,1376.78,,NA,,NA,,NA,NA
S Uninf STD 9,S,Uninfected,Standard,9,2,,1221.56,,1387.58,,1539.84,,1599.69,,1656.12,1723.87
S Uninf STD 10,S,Uninfected,Standard,10,2,,NA,,NA,,NA,,NA,,NA,NA
S:M Uninf STD 1,SM,Uninfected,Standard,1,1,995.83,,1315.18,,1307.82,,NA,,NA,,NA
S:M Uninf STD 2,SM,Uninfected,Standard,2,1,909.11,,1203.2,,1364.43,,1504.12,,1640.72,,1677.11
S:M Uninf STD 3,SM,Uninfected,Standard,3,1,1114.72,,1335.32,,1387.98,,NA,,NA,,NA
S:M Uninf STD 4,SM,Uninfected,Standard,4,1,1028.59,,1318.7,,1344.27,,1382.74,,1368.18,,NA
S:M Uninf STD 5,SM,Uninfected,Standard,5,1,899.73,,1267.71,,1425.83,,1445.52,,1663.7,,1723.41
S:M Uninf STD 6,SM,Uninfected,Standard,6,2,,NA,,NA,,NA,,NA,,NA,NA
S:M Uninf STD 7,SM,Uninfected,Standard,7,2,,1026.97,,1272.18,,1325.36,,1449.04,,1581.08,1607.24
S:M Uninf STD 8,SM,Uninfected,Standard,8,2,,1006.84,,1291.77,,NA,,NA,,NA,NA
S:M Uninf STD 9,SM,Uninfected,Standard,9,2,,963.68,,1225.23,,1341.07,,1381.32,,NA,NA
S:M Uninf STD 10,SM,Uninfected,Standard,10,2,,NA,,NA,,NA,,NA,,NA,NA
M Uninf STD 1,M,Uninfected,Standard,1,1,978.23,,1167.11,,1271.37,,1308.27,,1453.07,,1460.4
M Uninf STD 2,M,Uninfected,Standard,2,1,944.28,,1146.33,,NA,,NA,,NA,,NA
M Uninf STD 3,M,Uninfected,Standard,3,1,918.78,,1164.36,,NA,,NA,,NA,,NA
M Uninf STD 4,M,Uninfected,Standard,4,1,926.25,,1108.25,,1141.86,,NA,,NA,,NA
M Uninf STD 5,M,Uninfected,Standard,5,1,944.85,,1156.74,,1196.54,,NA,,NA,,NA
M Uninf STD 6,M,Uninfected,Standard,6,2,,NA,,NA,,NA,,NA,,NA,NA
