Unique code,Diet,Parasites,Clone,Rep,Block,length_7,length_8,length_14,length_15,length_21,length_22,length_24
S:M Met STD 10,SM,Metsch,Standard,10,4,,1083.72,,1258.46,,NA,NA
M Met STD 1,M,Metsch,Standard,1,3,1023.59,,NA,,NA,,NA
M Met STD 2,M,Metsch,Standard,2,3,942.63,,NA,,NA,,NA
M Met STD 3,M,Metsch,Standard,3,3,964.26,,NA,,NA,,NA
M Met STD 4,M,Metsch,Standard,4,3,915.68,,1165.39,,1374.42,,1464.68
M Met STD 5,M,Metsch,Standard,5,3,978.86,,1197.67,,1414.04,,1447.72
M Met STD 6,M,Metsch,Standard,6,4,,1056.21,,1258.57,,1582.57,1554.36
M Met STD 7,M,Metsch,Standard,7,4,,NA,,NA,,NA,NA
M Met STD 8,M,Metsch,Standard,8,4,,NA,,NA,,NA,NA
M Met STD 9,M,Metsch,Standard,9,4,,NA,,NA,,NA,NA
M Met STD 10,M,Metsch,Standard,10,4,,NA,,NA,,NA,NA
M+ Met STD 1,M+,Metsch,Standard,1,3,872.07,,1140.84,,1416.46,,1496.33
M+ Met STD 2,M+,Metsch,Standard,2,3,907.96,,1176.03,,1477.42,,1549.5
M+ Met STD 3,M+,Metsch,Standard,3,3,949.11,,1230.09,,NA,,NA
M+ Met STD 4,M+,Metsch,Standard,4,3,870.6,,1114.83,,1424.82,,1402.89
M+ Met STD 5,M+,Metsch,Standard,5,3,917.81,,1124.97,,1406.99,,NA
M+ Met STD 6,M+,Metsch,Standard,6,4,,951.16,,1170.89,,1403.31,1426.31
M+ Met STD 7,M+,Metsch,Standard,7,4,,896.16,,1136.56,,1467.92,1514.99
M+ Met STD 8,M+,Metsch,Standard,8,4,,1162.68,,1237.95,,NA,NA
M+ Met STD 9,M+,Metsch,Standard,9,4,,923.03,,1186.3,,1494.81,1506.61
M+ Met STD 10,M+,Metsch,Standard,10,4,,942.67,,1250.34,,NA,NA
